client_code,date,time,reference,employee,description,price
94,2025-07-01,13:38,41771,12.Emersan,69 OPEN FOOD $,2752.58
67,2025-07-02,13:01,41803,11.Alex,1 ASIAN STYLE SALAD,179.7
94,2025-07-02,15:36,41831,8.Richard,68 OPEN FOOD $,2712.69
96,2025-07-02,21:19,41871,2.Emma,1 SALAD KALE,141.7
94,2025-07-03,14:32,2.TVQ,2.Emma,#41926,32.19
94,2025-07-03,15:53,2.TVQ,2.Emma,#41917,2752.58
81,2025-07-03,15:56,2.TVQ,2.Emma,#41916,103.72
94,2025-07-04,14:28,42097,11.Alex,68 OPEN FOOD $,2712.69
67,2025-07-07,13:46,42332,11.Alex,1 ASIAN STYLE SALAD,119.51
94,2025-07-07,15:01,2.TVQ,11.Alex,#42358,837.74
96,2025-07-07,15:06,2.TVQ,8.Richard,#42359,2167.09
96,2025-07-07,15:17,2.TVQ,15.Banquet,#42360,3499.25
96,2025-07-07,15:22,2.TVQ,15.Banquet,#42361,3549.25
96,2025-07-07,15:31,2.TVQ,11.Alex,#42363,4856.59
96,2025-07-07,15:34,2.TVQ,15.Banquet,#42362,2348.16
67,2025-07-07,22:25,42383,2.Emma,,500.0
99,2025-07-08,12:59,2.TVQ,8.Richard,#42457,75.0
52,2025-07-08,13:37,42463,8.Richard,1 SOUP,66.64
96,2025-07-08,14:51,42474,15.Banquet,65 OPEN FOOD $,2422.55
96,2025-07-08,15:03,42476,15.Banquet,70 OPEN FOOD $,4654.13
54,2025-07-08,15:05,42473,15.Banquet,2 OPEN FOOD $,327.44
96,2025-07-08,19:12,2.TVQ,11.Alex,#42603,4394.18
99,2025-07-08,19:15,42593,5.Take Out,,116.58
94,2025-07-09,11:42,42683,9.Stefano,,732.36
94,2025-07-09,12:07,42691,8.Richard,,699.62
96,2025-07-09,15:01,42716,9.Stefano,70 OPEN FOOD $,4654.13
96,2025-07-09,15:02,42715,11.Alex,66 OPEN FOOD $,2457.74
96,2025-07-09,15:03,2.TVQ,15.Banquet,#42721,3886.69
67,2025-07-09,19:01,2.TVQ,2.Emma,#42698,724.87
96,2025-07-10,11:25,42827,2.Emma,,4336.69
96,2025-07-10,11:26,42826,8.Richard,,2382.35
94,2025-07-10,11:29,42828,2.Emma,,562.9
94,2025-07-11,13:02,42976,9.Stefano,,614.34
94,2025-07-11,17:48,43014,11.Alex,11 OPEN FOOD $,438.82
94,2025-07-12,11:15,43064,2.Emma,12 OPEN FOOD $,478.71
52,2025-07-14,14:01,2.TVQ,11.Alex,#43131,55.29
67,2025-07-14,22:31,2.TVQ,9.Stefano,#43220,385.14
67,2025-07-15,14:03,2.TVQ,2.Emma,#43278,85.94
19,2025-07-16,14:16,43451,9.Stefano,,103.53
21,2025-07-16,14:33,43477,5.Take Out,,0.0
7,2025-07-16,19:02,43506,4.Makayla,2 LATTE,23.51
52,2025-07-17,13:57,2.TVQ,9.Stefano,#43588,115.53
94,2025-07-17,14:37,2.TVQ,9.Stefano,#43564,110.37
7,2025-07-17,18:49,2.TVQ,11.Alex,#43622,100.0
90,2025-07-21,12:11,2.TVQ,5.Take Out,#43962,19.32
18,2025-07-22,13:41,2.TVQ,2.Emma,#44074,82.43
99,2025-07-23,13:05,44327,11.Alex,,108.7
90,2025-07-23,18:31,2.TVQ,2.Emma,#44360,121.71
21,2025-07-24,17:40,2.TVQ,9.Stefano,#44483,588.42
7,2025-07-24,23:15,2.TVQ,4.Makayla,#44543,100.0
90,2025-07-25,16:27,44621,2.Emma,,35.9
39,2025-07-28,10:52,44722,15.Banquet,,332.44
78,2025-07-28,10:56,44723,15.Banquet,4 OPEN FOOD $,653.38
67,2025-07-30,21:10,2.TVQ,4.Makayla,#45174,39.89
67,2025-07-31,9:59,2.TVQ,15.Banquet,#45286,789.85
18,2025-07-31,14:04,2.TVQ,2.Emma,#45312,183.16
